area,population
"Hutchinson County, South Dakota","7,427"
"Hyde County, South Dakota","1,262"
"Jackson County, South Dakota","2,806"
"Jerauld County, South Dakota","1,663"
"Jones County, South Dakota",917
"Kingsbury County, South Dakota","5,187"
"Lake County, South Dakota","11,059"
"Lawrence County, South Dakota","25,768"
"Lincoln County, South Dakota","65,161"
"Lyman County, South Dakota","3,718"
"McCook County, South Dakota","5,682"
"McPherson County, South Dakota","2,411"
"Marshall County, South Dakota","4,306"
"Meade County, South Dakota","29,852"
"Mellette County, South Dakota","1,918"
"Miner County, South Dakota","2,298"
"Minnehaha County, South Dakota","197,214"
"Moody County, South Dakota","6,336"
"Oglala Lakota County, South Dakota","13,672"
"Pennington County, South Dakota","109,222"
"Perkins County, South Dakota","2,835"
"Potter County, South Dakota","2,472"
"Roberts County, South Dakota","10,280"
"Sanborn County, South Dakota","2,330"
"Spink County, South Dakota","6,361"
"Stanley County, South Dakota","2,980"
"Sully County, South Dakota","1,446"
"Todd County, South Dakota","9,319"
"Tripp County, South Dakota","5,624"
"Turner County, South Dakota","8,673"
"Union County, South Dakota","16,811"
"Walworth County, South Dakota","5,315"
"Yankton County, South Dakota","23,310"
"Ziebach County, South Dakota","2,413"
"Anderson County, Tennessee","77,123"
"Bedford County, Tennessee","50,237"
"Benton County, Tennessee","15,864"
"Bledsoe County, Tennessee","14,913"
"Blount County, Tennessee","135,280"
"Bradley County, Tennessee","108,620"
"Campbell County, Tennessee","39,272"
"Cannon County, Tennessee","14,506"
"Carroll County, Tennessee","28,440"
"Carter County, Tennessee","56,356"
"Cheatham County, Tennessee","41,072"
"Chester County, Tennessee","17,341"
"Claiborne County, Tennessee","32,043"
"Clay County, Tennessee","7,581"
"Cocke County, Tennessee","35,999"
"Coffee County, Tennessee","57,889"
"Crockett County, Tennessee","13,911"
"Cumberland County, Tennessee","61,145"
"Davidson County, Tennessee","715,884"
"Decatur County, Tennessee","11,435"
"DeKalb County, Tennessee","20,080"
"Dickson County, Tennessee","54,315"
"Dyer County, Tennessee","36,801"
"Fayette County, Tennessee","41,990"
"Fentress County, Tennessee","18,489"
"Franklin County, Tennessee","42,774"
"Gibson County, Tennessee","50,429"
"Giles County, Tennessee","30,346"
"Grainger County, Tennessee","23,527"
"Greene County, Tennessee","70,152"
"Grundy County, Tennessee","13,529"
"Hamblen County, Tennessee","64,499"
"Hamilton County, Tennessee","366,207"
"Hancock County, Tennessee","6,662"
"Hardeman County, Tennessee","25,462"
"Hardin County, Tennessee","26,831"
"Hawkins County, Tennessee","56,721"
"Haywood County, Tennessee","17,864"
"Henderson County, Tennessee","27,842"
"Henry County, Tennessee","32,199"
"Hickman County, Tennessee","24,925"
"Houston County, Tennessee","8,283"
"Humphreys County, Tennessee","18,990"
"Jackson County, Tennessee","11,617"
"Jefferson County, Tennessee","54,683"
"Johnson County, Tennessee","17,948"
"Knox County, Tennessee","478,971"
"Lake County, Tennessee","7,005"
"Lauderdale County, Tennessee","25,143"
"Lawrence County, Tennessee","44,159"
"Lewis County, Tennessee","12,582"
"Lincoln County, Tennessee","35,319"
"Loudon County, Tennessee","54,886"
"McMinn County, Tennessee","53,276"
"McNairy County, Tennessee","25,866"
"Macon County, Tennessee","25,216"
"Madison County, Tennessee","98,823"
"Marion County, Tennessee","28,837"
"Marshall County, Tennessee","34,318"
"Maury County, Tennessee","100,974"
"Meigs County, Tennessee","12,758"
"Monroe County, Tennessee","46,250"
"Montgomery County, Tennessee","220,069"
"Moore County, Tennessee","6,461"
"Morgan County, Tennessee","21,035"
"Obion County, Tennessee","30,787"
"Overton County, Tennessee","22,511"
"Perry County, Tennessee","8,366"
"Pickett County, Tennessee","5,001"
"Polk County, Tennessee","17,544"
"Putnam County, Tennessee","79,854"
"Rhea County, Tennessee","32,870"
"Roane County, Tennessee","53,404"
"Robertson County, Tennessee","72,803"
"Rutherford County, Tennessee","341,486"
"Scott County, Tennessee","21,850"
"Sequatchie County, Tennessee","15,826"
"Sevier County, Tennessee","98,380"
"Shelby County, Tennessee","929,744"
"Smith County, Tennessee","19,904"
"Stewart County, Tennessee","13,657"
"Sullivan County, Tennessee","158,163"
"Sumner County, Tennessee","196,281"
"Tipton County, Tennessee","60,970"
"Trousdale County, Tennessee","11,615"
"Unicoi County, Tennessee","17,928"
"Union County, Tennessee","19,802"
"Van Buren County, Tennessee","6,168"
"Warren County, Tennessee","40,953"
"Washington County, Tennessee","133,001"
"Wayne County, Tennessee","16,232"
"Weakley County, Tennessee","32,902"
"White County, Tennessee","27,351"
"Williamson County, Tennessee","247,726"
"Wilson County, Tennessee","147,737"
"Anderson County, Texas","57,922"
"Andrews County, Texas","18,610"
"Angelina County, Texas","86,395"
"Aransas County, Texas","23,830"
"Archer County, Texas","8,560"
"Armstrong County, Texas","1,848"
"Atascosa County, Texas","48,981"
"Austin County, Texas","30,167"
"Bailey County, Texas","6,904"
"Bandera County, Texas","20,851"
"Bastrop County, Texas","97,216"
"Baylor County, Texas","3,465"
"Bee County, Texas","31,047"
"Bell County, Texas","370,647"
"Bexar County, Texas","2,009,324"
"Blanco County, Texas","11,374"
"Borden County, Texas",631
"Bosque County, Texas","18,235"
"Bowie County, Texas","92,893"
"Brazoria County, Texas","372,031"
"Brazos County, Texas","233,849"
"Brewster County, Texas","9,546"
"Briscoe County, Texas","1,435"
"Brooks County, Texas","7,076"
"Brown County, Texas","38,095"
"Burleson County, Texas","17,642"
"Burnet County, Texas","49,130"
"Caldwell County, Texas","45,883"
"Calhoun County, Texas","20,106"
"Callahan County, Texas","13,708"
"Cameron County, Texas","421,017"
"Camp County, Texas","12,464"
"Carson County, Texas","5,807"
"Cass County, Texas","28,454"
"Castro County, Texas","7,371"
"Chambers County, Texas","46,571"
"Cherokee County, Texas","50,412"
"Childress County, Texas","6,664"
"Clay County, Texas","10,218"
"Cochran County, Texas","2,547"
"Coke County, Texas","3,285"
"Coleman County, Texas","7,684"
"Collin County, Texas","1,064,465"
"Collingsworth County, Texas","2,652"
"Colorado County, Texas","20,557"
"Comal County, Texas","161,501"
"Comanche County, Texas","13,594"
"Concho County, Texas","3,303"
"Cooke County, Texas","41,668"
"Coryell County, Texas","83,093"
"Cottle County, Texas","1,380"
"Crane County, Texas","4,675"
"Crockett County, Texas","3,098"
"Crosby County, Texas","5,133"
"Culberson County, Texas","2,188"
"Dallam County, Texas","7,115"
"Dallas County, Texas","2,613,539"
"Dawson County, Texas","12,456"
"Deaf Smith County, Texas","18,583"
"Delta County, Texas","5,230"
"Denton County, Texas","906,422"
"DeWitt County, Texas","19,824"
"Dickens County, Texas","1,770"
"Dimmit County, Texas","8,615"
"Donley County, Texas","3,258"
"Duval County, Texas","9,831"
"Eastland County, Texas","17,725"
"Ector County, Texas","165,171"
"Edwards County, Texas","1,422"
"Ellis County, Texas","192,455"
"El Paso County, Texas","865,657"
"Erath County, Texas","42,545"
"Falls County, Texas","16,968"
"Fannin County, Texas","35,662"
"Fayette County, Texas","24,435"
"Fisher County, Texas","3,672"
"Floyd County, Texas","5,402"
"Foard County, Texas","1,095"
"Fort Bend County, Texas","822,779"
"Franklin County, Texas","10,359"
"Freestone County, Texas","19,435"
"Frio County, Texas","18,385"
"Gaines County, Texas","21,598"
"Galveston County, Texas","350,682"
"Garza County, Texas","5,816"
"Gillespie County, Texas","26,725"
"Glasscock County, Texas","1,116"
"Goliad County, Texas","7,012"
"Gonzales County, Texas","19,653"
"Gray County, Texas","21,227"
"Grayson County, Texas","135,543"
"Gregg County, Texas","124,239"
"Grimes County, Texas","29,268"
"Guadalupe County, Texas","172,706"
"Hale County, Texas","32,522"
"Hall County, Texas","2,825"
"Hamilton County, Texas","8,222"
"Hansford County, Texas","5,285"
"Hardeman County, Texas","3,549"
"Hardin County, Texas","56,231"
"Harris County, Texas","4,731,145"
"Harrison County, Texas","68,839"
"Hartley County, Texas","5,382"
"Haskell County, Texas","5,416"
"Hays County, Texas","241,067"
"Hemphill County, Texas","3,382"
"Henderson County, Texas","82,150"
"Hidalgo County, Texas","870,781"
"Hill County, Texas","35,874"
"Hockley County, Texas","21,537"
"Hood County, Texas","61,598"
"Hopkins County, Texas","36,787"
"Houston County, Texas","22,066"
"Howard County, Texas","34,860"
"Hudspeth County, Texas","3,202"
"Hunt County, Texas","99,956"
"Hutchinson County, Texas","20,617"
"Irion County, Texas","1,513"
"Jack County, Texas","8,472"
"Jackson County, Texas","14,988"
"Jasper County, Texas","32,980"
"Jeff Davis County, Texas","1,996"
"Jefferson County, Texas","256,526"
"Jim Hogg County, Texas","4,838"
"Jim Wells County, Texas","38,891"
"Johnson County, Texas","179,927"
"Jones County, Texas","19,663"
"Karnes County, Texas","14,710"
"Kaufman County, Texas","145,310"
"Kendall County, Texas","44,279"
"Kenedy County, Texas",350
"Kent County, Texas",753
"Kerr County, Texas","52,598"
"Kimble County, Texas","4,286"
"King County, Texas",265
"Kinney County, Texas","3,129"
"Kleberg County, Texas","31,040"
"Knox County, Texas","3,353"
"Lamar County, Texas","50,088"
"Lamb County, Texas","13,045"
"Lampasas County, Texas","21,627"
"La Salle County, Texas","6,664"
"Lavaca County, Texas","20,337"
"Lee County, Texas","17,478"
"Leon County, Texas","15,719"
"Liberty County, Texas","91,628"
"Limestone County, Texas","22,146"
"Lipscomb County, Texas","3,059"
"Live Oak County, Texas","11,335"
"Llano County, Texas","21,243"
"Loving County, Texas",64
"Lubbock County, Texas","310,639"
"Lynn County, Texas","5,596"
"McCulloch County, Texas","7,630"
"McLennan County, Texas","260,579"
"McMullen County, Texas",600
"Madison County, Texas","13,455"
"Marion County, Texas","9,725"
"Martin County, Texas","5,237"
"Mason County, Texas","3,953"
"Matagorda County, Texas","36,255"
"Maverick County, Texas","57,887"
"Medina County, Texas","50,748"
"Menard County, Texas","1,962"
"Midland County, Texas","169,983"
"Milam County, Texas","24,754"
"Mills County, Texas","4,456"
"Mitchell County, Texas","8,990"
"Montague County, Texas","19,965"
"Montgomery County, Texas","620,443"
"Moore County, Texas","21,358"
"Morris County, Texas","11,973"
"Motley County, Texas","1,063"
"Nacogdoches County, Texas","64,653"
"Navarro County, Texas","52,624"
"Newton County, Texas","12,217"
"Nolan County, Texas","14,738"
"Nueces County, Texas","353,178"
"Ochiltree County, Texas","10,015"
"Oldham County, Texas","1,758"
"Orange County, Texas","84,808"
"Palo Pinto County, Texas","28,409"
"Panola County, Texas","22,491"
"Parker County, Texas","148,222"
"Parmer County, Texas","9,869"
"Pecos County, Texas","15,193"
"Polk County, Texas","50,123"
"Potter County, Texas","118,525"
"Presidio County, Texas","6,131"
"Rains County, Texas","12,164"
"Randall County, Texas","140,753"
"Reagan County, Texas","3,385"
"Real County, Texas","2,758"
"Red River County, Texas","11,587"
"Reeves County, Texas","14,748"
"Refugio County, Texas","6,741"
"Roberts County, Texas",827
"Robertson County, Texas","16,757"
"Rockwall County, Texas","107,819"
"Runnels County, Texas","9,900"
"Rusk County, Texas","52,214"
"Sabine County, Texas","9,894"
"San Augustine County, Texas","7,918"
"San Jacinto County, Texas","27,402"
"San Patricio County, Texas","68,755"
"San Saba County, Texas","5,730"
"Schleicher County, Texas","2,451"
"Scurry County, Texas","16,932"
"Shackelford County, Texas","3,105"
"Shelby County, Texas","24,022"
"Sherman County, Texas","2,782"
"Smith County, Texas","233,479"
"Somervell County, Texas","9,205"
"Starr County, Texas","65,920"
"Stephens County, Texas","9,101"
"Sterling County, Texas","1,372"
"Stonewall County, Texas","1,245"
"Sutton County, Texas","3,372"
"Swisher County, Texas","6,971"
"Tarrant County, Texas","2,110,640"
"Taylor County, Texas","143,208"
"Terrell County, Texas",760
"Terry County, Texas","11,831"
"Throckmorton County, Texas","1,440"
"Titus County, Texas","31,247"
"Tom Green County, Texas","120,003"
"Travis County, Texas","1,290,188"
"Trinity County, Texas","13,602"
"Tyler County, Texas","19,798"
"Upshur County, Texas","40,892"
"Upton County, Texas","3,308"
"Uvalde County, Texas","24,564"
"Val Verde County, Texas","47,586"
"Van Zandt County, Texas","59,541"
"Victoria County, Texas","91,319"
"Walker County, Texas","76,400"
"Waller County, Texas","56,794"
"Ward County, Texas","11,644"
"Washington County, Texas","35,805"
"Webb County, Texas","267,114"
"Wharton County, Texas","41,570"
"Wheeler County, Texas","4,990"
"Wichita County, Texas","129,350"
"Wilbarger County, Texas","12,887"
"Willacy County, Texas","20,164"
"Williamson County, Texas","609,017"
"Wilson County, Texas","49,753"
"Winkler County, Texas","7,791"
"Wise County, Texas","68,632"
"Wood County, Texas","44,843"
"Yoakum County, Texas","7,694"
"Young County, Texas","17,867"
"Zapata County, Texas","13,889"
"Zavala County, Texas","9,670"
"Beaver County, Utah","7,072"
"Box Elder County, Utah","57,666"
"Cache County, Utah","133,154"
"Carbon County, Utah","20,412"
"Daggett County, Utah",935
"Davis County, Utah","362,679"
"Duchesne County, Utah","19,596"
"Emery County, Utah","9,825"
"Garfield County, Utah","5,083"
"Grand County, Utah","9,669"
"Iron County, Utah","57,289"
"Juab County, Utah","11,786"
"Kane County, Utah","7,667"
"Millard County, Utah","12,975"
"Morgan County, Utah","12,295"
"Piute County, Utah","1,438"
"Rich County, Utah","2,510"
"Salt Lake County, Utah","1,185,238"
"San Juan County, Utah","14,518"
"Sanpete County, Utah","28,437"
"Sevier County, Utah","21,522"
"Summit County, Utah","42,357"
"Tooele County, Utah","72,698"
"Uintah County, Utah","35,620"
"Utah County, Utah","659,399"
"Wasatch County, Utah","34,788"
"Washington County, Utah","180,279"
"Wayne County, Utah","2,486"
"Weber County, Utah","262,223"
"Addison County, Vermont","37,363"
"Bennington County, Vermont","37,347"
"Caledonia County, Vermont","30,233"
"Chittenden County, Vermont","168,323"
"Essex County, Vermont","5,920"
"Franklin County, Vermont","49,946"
"Grand Isle County, Vermont","7,293"
"Lamoille County, Vermont","25,945"
"Orange County, Vermont","29,277"
"Orleans County, Vermont","27,393"
"Rutland County, Vermont","60,572"
"Washington County, Vermont","59,807"
"Windham County, Vermont","45,905"
"Windsor County, Vermont","57,753"
"Accomack County, Virginia","33,413"
"Albemarle County, Virginia","112,395"
"Alleghany County, Virginia","15,223"
"Amelia County, Virginia","13,265"
"Amherst County, Virginia","31,307"
"Appomattox County, Virginia","16,119"
"Arlington County, Virginia","238,643"
"Augusta County, Virginia","77,487"
"Bath County, Virginia","4,209"
"Bedford County, Virginia","79,462"
"Bland County, Virginia","6,270"
"Botetourt County, Virginia","33,596"
"Brunswick County, Virginia","15,849"
"Buchanan County, Virginia","20,355"
"Buckingham County, Virginia","16,824"
"Campbell County, Virginia","55,696"
"Caroline County, Virginia","30,887"
"Carroll County, Virginia","29,155"
"Charles City County, Virginia","6,773"
"Charlotte County, Virginia","11,529"
"Chesterfield County, Virginia","364,548"
"Clarke County, Virginia","14,783"
"Craig County, Virginia","4,892"
"Culpeper County, Virginia","52,552"
"Cumberland County, Virginia","9,675"
"Dickenson County, Virginia","14,124"
"Dinwiddie County, Virginia","27,947"
"Essex County, Virginia","10,599"
"Fairfax County, Virginia","1,150,309"
"Fauquier County, Virginia","72,972"
"Floyd County, Virginia","15,476"
"Fluvanna County, Virginia","27,249"
"Franklin County, Virginia","54,477"
"Frederick County, Virginia","91,419"
"Giles County, Virginia","16,787"
"Gloucester County, Virginia","38,711"
"Goochland County, Virginia","24,727"
"Grayson County, Virginia","15,333"
"Greene County, Virginia","20,552"
"Greensville County, Virginia","11,391"
"Halifax County, Virginia","34,022"
"Hanover County, Virginia","109,979"
"Henrico County, Virginia","334,389"
"Henry County, Virginia","50,948"
"Highland County, Virginia","2,232"
"Isle of Wight County, Virginia","38,606"
"James City County, Virginia","78,254"
"King and Queen County, Virginia","6,608"
"King George County, Virginia","26,723"
"King William County, Virginia","17,810"
"Lancaster County, Virginia","10,919"
"Lee County, Virginia","22,173"
"Loudoun County, Virginia","420,959"
"Louisa County, Virginia","37,596"
"Lunenburg County, Virginia","11,936"
"Madison County, Virginia","13,837"
"Mathews County, Virginia","8,533"
"Mecklenburg County, Virginia","30,319"
"Middlesex County, Virginia","10,625"
"Montgomery County, Virginia","99,721"
"Nelson County, Virginia","14,775"
"New Kent County, Virginia","22,945"
"Northampton County, Virginia","12,282"
"Northumberland County, Virginia","11,839"
"Nottoway County, Virginia","15,642"
"Orange County, Virginia","36,254"
"Page County, Virginia","23,709"
"Patrick County, Virginia","17,608"
"Pittsylvania County, Virginia","60,501"
"Powhatan County, Virginia","30,333"
"Prince Edward County, Virginia","21,849"
"Prince George County, Virginia","43,010"
"Prince William County, Virginia","482,204"
"Pulaski County, Virginia","33,800"
"Rappahannock County, Virginia","7,348"
"Richmond County, Virginia","8,923"
"Roanoke County, Virginia","96,929"
"Rockbridge County, Virginia","22,650"
"Rockingham County, Virginia","83,757"
"Russell County, Virginia","25,781"
"Scott County, Virginia","21,576"
"Shenandoah County, Virginia","44,186"
"Smyth County, Virginia","29,800"
"Southampton County, Virginia","17,996"
"Spotsylvania County, Virginia","140,032"
"Stafford County, Virginia","156,927"
"Surry County, Virginia","6,561"
"Sussex County, Virginia","10,829"
"Tazewell County, Virginia","40,429"
"Warren County, Virginia","40,727"
"Washington County, Virginia","53,935"
"Westmoreland County, Virginia","18,477"
"Wise County, Virginia","36,130"
"Wythe County, Virginia","28,290"
"York County, Virginia","70,045"
"Alexandria city, Virginia","159,467"
"Bristol city, Virginia","17,219"
"Buena Vista city, Virginia","6,641"
"Charlottesville city, Virginia","46,553"
"Chesapeake city, Virginia","249,422"
"Colonial Heights city, Virginia","18,170"
"Covington city, Virginia","5,737"
"Danville city, Virginia","42,590"
"Emporia city, Virginia","5,766"
"Fairfax city, Virginia","24,146"
"Falls Church city, Virginia","14,658"
"Franklin city, Virginia","8,180"
"Fredericksburg city, Virginia","27,982"
"Galax city, Virginia","6,720"
"Hampton city, Virginia","137,148"
"Harrisonburg city, Virginia","51,814"
"Hopewell city, Virginia","23,033"
"Lexington city, Virginia","7,320"
"Lynchburg city, Virginia","79,009"
"Manassas city, Virginia","42,772"
"Manassas Park city, Virginia","17,219"
"Martinsville city, Virginia","13,485"
"Newport News city, Virginia","186,247"
"Norfolk city, Virginia","238,005"
"Norton city, Virginia","3,687"
"Petersburg city, Virginia","33,458"
"Poquoson city, Virginia","12,460"
"Portsmouth city, Virginia","97,915"
"Radford city, Virginia","16,070"
"Richmond city, Virginia","226,610"
"Roanoke city, Virginia","100,011"
"Salem city, Virginia","25,346"
"Staunton city, Virginia","25,750"
"Suffolk city, Virginia","94,324"
"Virginia Beach city, Virginia","459,470"
"Waynesboro city, Virginia","22,196"
"Williamsburg city, Virginia","15,425"
"Winchester city, Virginia","28,120"
"Adams County, Washington","20,613"
"Asotin County, Washington","22,285"
"Benton County, Washington","206,873"
"Chelan County, Washington","79,074"
"Clallam County, Washington","77,155"
"Clark County, Washington","503,311"
"Columbia County, Washington","3,952"
"Cowlitz County, Washington","110,730"
"Douglas County, Washington","42,938"
"Ferry County, Washington","7,178"
"Franklin County, Washington","96,749"
"Garfield County, Washington","2,286"
"Grant County, Washington","99,123"
"Grays Harbor County, Washington","75,636"
"Island County, Washington","86,857"
"Jefferson County, Washington","32,977"
"King County, Washington","2,269,675"
"Kitsap County, Washington","275,611"
"Kittitas County, Washington","44,337"
"Klickitat County, Washington","22,735"
"Lewis County, Washington","82,149"
"Lincoln County, Washington","10,876"
"Mason County, Washington","65,726"
"Okanogan County, Washington","42,104"
"Pacific County, Washington","23,365"
"Pend Oreille County, Washington","13,401"
"Pierce County, Washington","921,130"
"San Juan County, Washington","17,788"
"Skagit County, Washington","129,523"
"Skamania County, Washington","12,036"
"Snohomish County, Washington","827,957"
"Spokane County, Washington","539,339"
"Stevens County, Washington","46,445"
"Thurston County, Washington","294,793"
"Wahkiakum County, Washington","4,422"
"Walla Walla County, Washington","62,584"
"Whatcom County, Washington","226,847"
"Whitman County, Washington","47,973"
"Yakima County, Washington","256,728"
"Barbour County, West Virginia","15,465"
"Berkeley County, West Virginia","122,076"
"Boone County, West Virginia","21,809"
"Braxton County, West Virginia","12,447"
"Brooke County, West Virginia","22,559"
"Cabell County, West Virginia","94,350"
"Calhoun County, West Virginia","6,229"
"Clay County, West Virginia","8,051"
"Doddridge County, West Virginia","7,808"
"Fayette County, West Virginia","40,488"
"Gilmer County, West Virginia","7,408"
"Grant County, West Virginia","10,976"
"Greenbrier County, West Virginia","32,977"
"Hampshire County, West Virginia","23,093"
"Hancock County, West Virginia","29,095"
"Hardy County, West Virginia","14,299"
"Harrison County, West Virginia","65,921"
"Jackson County, West Virginia","27,791"
"Jefferson County, West Virginia","57,701"
"Kanawha County, West Virginia","180,745"
"Lewis County, West Virginia","17,033"
"Lincoln County, West Virginia","20,463"
"Logan County, West Virginia","32,567"
"McDowell County, West Virginia","19,111"
"Marion County, West Virginia","56,205"
"Marshall County, West Virginia","30,591"
"Mason County, West Virginia","25,453"
"Mercer County, West Virginia","59,664"
"Mineral County, West Virginia","26,938"
"Mingo County, West Virginia","23,568"
"Monongalia County, West Virginia","105,822"
"Monroe County, West Virginia","12,376"
"Morgan County, West Virginia","17,063"
"Nicholas County, West Virginia","24,604"
"Ohio County, West Virginia","42,425"
"Pendleton County, West Virginia","6,143"
"Pleasants County, West Virginia","7,653"
"Pocahontas County, West Virginia","7,869"
"Preston County, West Virginia","34,216"
"Putnam County, West Virginia","57,440"
"Raleigh County, West Virginia","74,591"
"Randolph County, West Virginia","27,932"
"Ritchie County, West Virginia","8,444"
"Roane County, West Virginia","14,028"
"Summers County, West Virginia","11,959"
"Taylor County, West Virginia","16,705"
"Tucker County, West Virginia","6,762"
"Tyler County, West Virginia","8,313"
"Upshur County, West Virginia","23,816"
"Wayne County, West Virginia","38,982"
"Webster County, West Virginia","8,378"
"Wetzel County, West Virginia","14,442"
"Wirt County, West Virginia","5,194"
"Wood County, West Virginia","84,296"
"Wyoming County, West Virginia","21,382"
"Adams County, Wisconsin","20,654"
"Ashland County, Wisconsin","16,027"
"Barron County, Wisconsin","46,711"
"Bayfield County, Wisconsin","16,220"
"Brown County, Wisconsin","268,740"
"Buffalo County, Wisconsin","13,317"
"Burnett County, Wisconsin","16,526"
"Calumet County, Wisconsin","52,442"
"Chippewa County, Wisconsin","66,297"
"Clark County, Wisconsin","34,659"
"Columbia County, Wisconsin","58,490"
"Crawford County, Wisconsin","16,113"
"Dane County, Wisconsin","561,504"
"Dodge County, Wisconsin","89,396"
"Door County, Wisconsin","30,066"
"Douglas County, Wisconsin","44,295"
"Dunn County, Wisconsin","45,440"
"Eau Claire County, Wisconsin","105,710"
"Florence County, Wisconsin","4,558"
"Fond du Lac County, Wisconsin","104,154"
"Forest County, Wisconsin","9,179"
"Grant County, Wisconsin","51,938"
"Green County, Wisconsin","37,093"
"Green Lake County, Wisconsin","19,018"
"Iowa County, Wisconsin","23,709"
"Iron County, Wisconsin","6,137"
"Jackson County, Wisconsin","21,145"
"Jefferson County, Wisconsin","84,900"
"Juneau County, Wisconsin","26,718"
"Kenosha County, Wisconsin","169,151"
"Kewaunee County, Wisconsin","20,563"
"La Crosse County, Wisconsin","120,784"
"Lafayette County, Wisconsin","16,611"
"Langlade County, Wisconsin","19,491"
"Lincoln County, Wisconsin","28,415"
"Manitowoc County, Wisconsin","81,359"
"Marathon County, Wisconsin","138,013"
"Marinette County, Wisconsin","41,872"
"Marquette County, Wisconsin","15,592"
"Menominee County, Wisconsin","4,255"
"Milwaukee County, Wisconsin","939,489"
"Monroe County, Wisconsin","46,274"
"Oconto County, Wisconsin","38,965"
"Oneida County, Wisconsin","37,845"
"Outagamie County, Wisconsin","190,705"
"Ozaukee County, Wisconsin","91,503"
"Pepin County, Wisconsin","7,318"
"Pierce County, Wisconsin","42,212"
"Polk County, Wisconsin","44,977"
"Portage County, Wisconsin","70,377"
"Price County, Wisconsin","14,054"
"Racine County, Wisconsin","197,727"
"Richland County, Wisconsin","17,304"
"Rock County, Wisconsin","163,687"
"Rusk County, Wisconsin","14,188"
"St Croix County, Wisconsin","93,536"
"Sauk County, Wisconsin","65,763"
"Sawyer County, Wisconsin","18,074"
"Shawano County, Wisconsin","40,881"
"Sheboygan County, Wisconsin","118,034"
"Taylor County, Wisconsin","19,913"
"Trempealeau County, Wisconsin","30,760"
"Vernon County, Wisconsin","30,714"
"Vilas County, Wisconsin","23,047"
"Walworth County, Wisconsin","106,478"
"Washburn County, Wisconsin","16,623"
"Washington County, Wisconsin","136,761"
"Waukesha County, Wisconsin","406,978"
"Waupaca County, Wisconsin","51,812"
"Waushara County, Wisconsin","24,520"
"Winnebago County, Wisconsin","171,730"
"Wood County, Wisconsin","74,207"
"Albany County, Wyoming","37,066"
"Big Horn County, Wyoming","11,521"
"Campbell County, Wyoming","47,026"
"Carbon County, Wyoming","14,537"
"Converse County, Wyoming","13,751"
"Crook County, Wyoming","7,181"
"Fremont County, Wyoming","39,234"
"Goshen County, Wyoming","12,498"
"Hot Springs County, Wyoming","4,621"
"Johnson County, Wyoming","8,447"
"Laramie County, Wyoming","100,512"
"Lincoln County, Wyoming","19,581"
"Natrona County, Wyoming","79,955"
"Niobrara County, Wyoming","2,467"
"Park County, Wyoming","29,624"
"Platte County, Wyoming","8,605"
"Sheridan County, Wyoming","30,921"
"Sublette County, Wyoming","8,728"
"Sweetwater County, Wyoming","42,272"
"Teton County, Wyoming","23,331"
"Uinta County, Wyoming","20,450"
"Washakie County, Wyoming","7,685"
"Weston County, Wyoming","6,838"
